symbol
AA,Basic Materials,12447106198.0,48.065,1146000000.0,258964032.0,4.425324981038293,0.09206959286462693,0.09964350926006434
A,Healthcare,38903003013.0,137.2238,1303000000.0,283500406.0,4.596113347365012,0.03349355831397332,0.12907379891035167
AAL,Industrials,10182587461.0,15.4262,602000000.0,660083978.0,0.9120051691362216,0.05912053319263472,0.01875272568687309
AAON,Industrials,6032281384.0,74.0155,100251000.0,81500245.0,1.230069921875695,0.01661908548717086,0.08195449506724697
AAPL,Technology,4022581353543.0005,272.231,112010000000.0,14776353000.0,7.5803549089548685,0.027845303837383945,0.6497476651777946
ABBV,Healthcare,396687249598.0,224.47,2394000000.0,1767217221.0,1.3546721769977592,0.006034980964038665,0.03621730382293763
ABB,Industrials,69020585106.0,37.13,3489000000.0,1858889984.0,1.8769265690981312,0.050550136522976866,0.15880023667561785
ABC,Healthcare,36149702920.0,179.98,1554169000.0,200854000.0,7.737804574467026,0.042992580144832905,0.16519902830166017
ABCM,Healthcare,5521322682.0,23.99,15268937.0,230151008.0,0.06634312459756857,0.0027654491287023163,0.016309481948301646
ABEV,Consumer Defensive,39125528174.0,2.5001,16037138000.0,15649585286.0,1.0247644079326947,0.4098893675983739,0.16894802478892978
ABMD,Healthcare,17180649405.0,381.02,266764000.0,45091201.0,5.916098797191053,0.015527003299540845,0.17324733875529538
ABNB,Consumer Cyclical,82524831557.0,133.43,2631000000.0,618487833.0,4.25392361760494,0.03188131317998156,0.24164217487141806
ABT,Healthcare,218118437680.0,125.315,13977000000.0,1740561287.0,8.0301682591657,0.06407986481399433,0.21874951091634715
ABVX,Healthcare,7507397952.0,114.0,-331994000.0,65854368.0,-5.041336058376568,-0.04422224612611025,-9.147856276865426
ACA,Industrials,5345907725.0,109.0,148600000.0,49045025.0,3.0298689826338143,0.027796963143429488,0.03565259117082534
ACH,Basic Materials,144053374033.0,9.04,4192068000.0,15935107747.0,0.2630712052003046,0.029100797035431926,0.02976071199644638
ACHR,Industrials,5188526957.0,7.9663,-627400000.0,651309511.0,-0.9632900938859467,-0.12092063993145458,-0.35997475471914625
ACI,Consumer Defensive,9609118614.0,17.4894,977300000.0,549425287.0,1.7787677835803724,0.10170547780829373,0.053180895580865105
ACM,Industrials,12826978875.0,96.9,561774000.0,132373363.0,4.24385984663697,0.04379628324702755,0.09595612801666004
ACN,Technology,168508420135.0,269.66,5401622000.0,624892161.0,8.644086671460101,0.03205550200793629,0.14701463872380185
ADBE,Technology,148219981000.0,354.085,7130000000.0,418600000.0,17.032967032967033,0.0481041756441731,0.39023589294510425
ADI,Technology,136147026201.0,275.39,2267343000.0,494378976.0,4.586244784001495,0.016653635876398905,0.05337390580330466
ADM,Consumer Defensive,28119077275.0,58.515,1189000000.0,480544771.0,2.474275180490935,0.04228446006136777,0.037506703258572284
ADP,Industrials,105862181972.0,261.743,4136300000.0,404450862.0,10.226953107594069,0.0390724990070186,0.25468572976700654
ADT,Industrials,6211947873.0,8.12,640557000.0,765018211.0,0.8373094794210069,0.1031169309631782,0.05587064980375055
ADSK,Technology,63493345505.0,297.39,1111000000.0,213501952.0,5.203699495918426,0.01749789668757667,0.1974409098987027
AEBIV,Industrials,6460926460.0,83.26,16676000.0,77599405.0,0.2148985549567036,0.0025810539869889934,0.018141073060354205
AEIS,Industrials,7858233355.0,208.19,144974000.0,37745489.0,3.8408298273735437,0.018448675860384955,0.07285125628140704
AEM,Basic Materials,84900188484.0,169.06,3419126320.0,502189687.0,6.808435952608481,0.04027230540996381,0.14340559310644668
AER,Industrials,25065790943.0,141.525,3789034000.0,177112107.0,21.393421738244015,0.15116355229283882,0.06093848542669761
AFRM,Technology,25426415711.0,78.03,233102000.0,325854360.0,0.715356394187882,0.00916770978069822,0.02070696949217104
AG,Basic Materials,8026672317.0,16.38,76319000.0,490028835.0,0.15574389617296705,0.009508174369534009,0.02690722245569699
AGCO,Industrials,7912709821.0,106.035,375300000.0,74623566.0,5.029242370968978,0.047430021888706354,0.050323151599667465
AGI,Basic Materials,15861778402.0,37.73,535436913.0,420402290.0,1.273629867715516,0.0337564237401409,0.12421706407611405
AIT,Industrials,9809421588.0,257.27,401732000.0,38128898.0,10.536155542706743,0.04095368889768237,0.16356799827365429
AKAM,Technology,12611557565.0,87.6623,506864000.0,143865237.0,3.523186077259234,0.04019043622240386,0.050874554452185965
ALAB,Technology,24903149143.0,147.44,198865000.0,168903616.0,1.1773874633921395,0.007985536241129541,0.15261478436777656
AL,Industrials,7170285628.0,64.155,1020376000.0,111765032.0,9.12965336063251,0.14230618596574718,0.03575742286350444
ALB,Basic Materials,16258050507.0,138.135,-21156000.0,117696822.0,-0.17974996810024318,-0.0013012630260270258,-0.0015374688260317978
ALC,Healthcare,39431389910.0,79.73,1047000000.0,494561519.0,2.117026820277135,0.026552449771442808,0.03835586960477024
ALGN,Healthcare,11545490580.0,160.91,378398000.0,71751231.0,5.273749240622784,0.03277452762800811,0.09355320100001582
ALK,Industrials,6021548844.0,51.915,150000000.0,115988613.0,1.2932303966769565,0.024910534463583867,0.014285714285714285
ALLE,Industrials,13780598232.0,160.18,640400000.0,86031953.0,7.443745930073214,0.04647113203941324,0.15224781874806836
ALNY,Healthcare,53044596301.0,401.5068,43565000.0,132113818.0,0.32975354629445347,0.0008212900660572958,0.014486883659001405
ALSN,Consumer Cyclical,8250046474.0,99.125,699000000.0,83228716.0,8.398543598822311,0.08472679544839658,0.164897381457891
ALTM,Basic Materials,6288862587.0,5.84,103200000.0,1076860032.0,0.09583418172585682,0.016409962624290553,0.014196690190252156
