symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
SCHW,The Charles Schwab Corporation,81.64,-0.1956,-0.16,81.05,82.24,83.84,61.01,145291442400.0,78.4816,72.10005,NYSE,2066749.0,8363071.0,82.24,81.8,2.99,27.3,2025-04-15T12:30:00.000+0000,1779660000.0,1738778033
ANET,"Arista Networks, Inc.",115.095,2.4706,2.775,112.93,115.775,133.575,60.08,144992077200.0,110.7069,92.0799,NYSE,2946263.0,8685835.0,114.725,112.32,2.09,55.07,2025-02-18T21:00:00.000+0000,1259760000.0,1738778048
HON,Honeywell International Inc.,221.955,-0.7135,-1.595,219.25,224.205,242.77,189.75,144325572885.0,226.016,211.772,NASDAQ,1730101.0,4026508.0,223.55,223.55,8.7,25.51,2025-02-06T13:30:00.000+0000,650247000.0,1738778034
MUFG,"Mitsubishi UFJ Financial Group, Inc.",12.6,0.8807,0.11,12.545,12.62,12.96,8.75,143580225600.0,11.9806,10.8503,NYSE,914712.0,2320508.0,12.6,12.49,1.01,12.48,2025-02-04T12:00:00.000+0000,11395256000.0,1738777932
UL,Unilever PLC,57.94,1.2052,0.69,57.763,58.19,65.87,46.46,143433339536.0,57.5552,58.4479,NYSE,824961.0,2445457.0,58.1,57.25,2.71,21.38,2025-02-13T07:00:00.000+0000,2475549526.0,1738778000
NEE,"NextEra Energy, Inc.",69.54,-0.515,-0.36,69.23,70.79,86.1,53.95,143002056000.0,72.7886,75.77005,NYSE,3091204.0,10999789.0,70.75,69.9,3.37,20.64,2025-04-21T12:30:00.000+0000,2056400000.0,1738778044
TJX,"The TJX Companies, Inc.",124.635,-0.4035,-0.505,123.93,125.28,128.0,92.35,140109681600.0,123.1292,113.67065,NYSE,1091089.0,5122859.0,125.14,125.14,4.24,29.4,2025-02-26T13:30:00.000+0000,1124160000.0,1738778030
TTE,TotalEnergies SE,60.265,1.8162,1.075,60.105,60.5,74.97,53.29,137436922208.0,56.9636,65.3201,NYSE,872369.0,2075420.0,60.36,59.19,7.09,8.5,2025-02-05T05:00:00.000+0000,2280542972.0,1738778033
UBER,"Uber Technologies, Inc.",64.945,-6.8889,-4.805,63.65,66.75,87.0,54.84,136755335950.0,66.0322,69.75015,NYSE,50186990.0,25470461.0,66.5,69.75,2.03,31.99,2025-04-30T12:00:00.000+0000,2105710000.0,1738778049
SONY,Sony Group Corporation,22.835,1.3988,0.315,22.755,22.87,22.87,15.022,135671269810.0,20.8486,18.4708,NYSE,1332960.0,3439218.0,22.8,22.52,1.19,19.19,2025-02-13T06:00:00.000+0000,5941373760.0,1738778041
