,symbol,date,calendarYear,period,roic,earningsYield
10255,STN,2015-12-31,2015,FY,0.08833754423693956,0.04839920663065246
10256,STN,2014-12-31,2014,FY,0.10637849445827226,0.05507612558379954
10257,IMGN,2022-12-31,2022,FY,-1.2983369743615032,-0.17741935490237815
10258,IMGN,2021-12-31,2021,FY,-1.2983369743615032,-0.11845689061132712
10259,IMGN,2020-12-31,2020,FY,-1.7945458636578149,-0.05869017054721237
10260,IMGN,2019-12-31,2019,FY,2.1932507601434255,-0.16110035661694186
10261,IMGN,2018-12-31,2018,FY,-63.44086701439457,-0.249907404760884
10262,IMGN,2017-12-31,2017,FY,3.3486390862892184,-0.15273556245508785
10263,IMGN,2016-12-31,2016,FY,2.3478929766484744,-0.8823391487338171
10264,IMGN,2016-06-30,2015,FY,-3.6221254286584266,-0.5362540674005906
10265,IMGN,2015-06-30,2014,FY,-1.101799938591397,-0.04909287260301356
10266,IMGN,2014-06-30,2013,FY,-0.9427285591714216,-0.07045166155066808
10267,BRKR,2024-12-31,2024,FY,0.0,0.012948829796734285
10268,BRKR,2023-12-31,2023,FY,0.10726025990897073,0.03971193232015849
10269,BRKR,2022-12-31,2022,FY,0.11351665297740512,0.02920208214980885
10270,BRKR,2021-12-31,2021,FY,0.10368226410376567,0.021812072348384844
10271,BRKR,2020-12-31,2020,FY,0.07791852517863919,0.019003938319334085
10272,BRKR,2019-12-31,2019,FY,0.09896401906385648,0.024928753319619988
10273,BRKR,2018-12-31,2018,FY,0.12529362726058663,0.0386445463018438
10274,BRKR,2017-12-31,2017,FY,0.06120844031537928,0.014485830425109363
10275,BRKR,2016-12-31,2016,FY,0.11793437918064956,0.044932618623868346
10276,BRKR,2015-12-31,2015,FY,0.10145781555357294,0.02488845513733479
10277,WBA,2024-08-31,2024,FY,-0.2707984701208651,-1.081707359079622
10278,WBA,2023-08-31,2023,FY,-0.12282800474116634,-0.14097663486209372
10279,WBA,2022-08-31,2022,FY,0.019421187362995238,0.14310761772045172
10280,WBA,2021-08-31,2021,FY,0.02780795066844128,0.05791936858318562
10281,WBA,2020-08-31,2020,FY,0.004320199342023656,0.01363848934828
10282,WBA,2019-08-31,2019,FY,0.0869551210878827,0.08441522581867876
10283,WBA,2018-08-31,2018,FY,0.1083774519021598,0.07394437922633927
10284,WBA,2017-08-31,2017,FY,0.096967203353946,0.0466109080726138
10285,WBA,2016-08-31,2016,FY,0.08657027636987696,0.04773670970478615
10286,WBA,2015-08-31,2015,FY,0.0702535931973813,0.04673882609789724
10287,G,2024-12-31,2024,FY,0.0,0.06704406445903192
10288,G,2023-12-31,2023,FY,0.1656826931392815,0.09973671341882037
10289,G,2022-12-31,2022,FY,0.10220181560494314,0.041423693211721034
10290,G,2021-12-31,2021,FY,0.09424379783107277,0.03706138851458799
10291,G,2020-12-31,2020,FY,0.08382117640585021,0.03914709915135235
10292,G,2019-12-31,2019,FY,0.08822589846188046,0.038036711243434995
10293,G,2018-12-31,2018,FY,0.0938061918961908,0.05465234947671517
10294,G,2017-12-31,2017,FY,0.09476364957958716,0.0423906497602244
10295,G,2016-12-31,2016,FY,0.1174418311132645,0.05313733465447668
10296,G,2015-12-31,2015,FY,0.11747027556629999,0.044321654367348626
10297,DCP,2022-12-31,2022,FY,0.19968964109236695,0.13013623730120205
10298,DCP,2021-12-31,2021,FY,0.06638295565434241,0.06827509520097673
10299,DCP,2020-12-31,2020,FY,0.15170420447859917,-0.17601088312358917
10300,DCP,2019-12-31,2019,FY,0.04578333615007605,0.004534035806614305
10301,DCP,2018-12-31,2018,FY,0.017518768436770006,0.07850333652351926
